"filename", "language", "C#", "ShaderLab", "comment", "blank", "total"
"c:\Users\micha\Desktop\Unity Projects\Aktualne\Depther\Assets\Editor\ColorizerWindow.cs", "C#", 28, 0, 0, 13, 41
"c:\Users\micha\Desktop\Unity Projects\Aktualne\Depther\Assets\Editor\GameplayManiupulationFunctions.cs", "C#", 86, 0, 0, 22, 108
"c:\Users\micha\Desktop\Unity Projects\Aktualne\Depther\Assets\Editor\PlayerCustomInspector.cs", "C#", 35, 0, 2, 14, 51
"c:\Users\micha\Desktop\Unity Projects\Aktualne\Depther\Assets\MyPackages\Controllers\SlowMontionController\SlowMontionController.cs", "C#", 52, 0, 4, 16, 72
"c:\Users\micha\Desktop\Unity Projects\Aktualne\Depther\Assets\MyPackages\Controllers\TransitionsController\Assets\Fader.shader", "ShaderLab", 0, 54, 4, 12, 70
"c:\Users\micha\Desktop\Unity Projects\Aktualne\Depther\Assets\MyPackages\Controllers\TransitionsController\TransitionsController.cs", "C#", 118, 0, 11, 40, 169
"c:\Users\micha\Desktop\Unity Projects\Aktualne\Depther\Assets\MyPackages\Prefabs\CheatsSetter\CheatsSetter.cs", "C#", 83, 0, 2, 25, 110
"c:\Users\micha\Desktop\Unity Projects\Aktualne\Depther\Assets\MyPackages\Prefabs\CloudsGenerator\CloudsGenerator.cs", "C#", 165, 0, 22, 54, 241
"c:\Users\micha\Desktop\Unity Projects\Aktualne\Depther\Assets\MyPackages\Prefabs\FPSCounter\FPSCounter.cs", "C#", 41, 0, 3, 12, 56
"c:\Users\micha\Desktop\Unity Projects\Aktualne\Depther\Assets\MyPackages\Prefabs\GlobalCursor\GlobalCursor.cs", "C#", 85, 0, 1, 27, 113
"c:\Users\micha\Desktop\Unity Projects\Aktualne\Depther\Assets\MyPackages\Prefabs\ObjectsPooler\BackToMyObjectsPooler.cs", "C#", 13, 0, 1, 4, 18
"c:\Users\micha\Desktop\Unity Projects\Aktualne\Depther\Assets\MyPackages\Prefabs\ObjectsPooler\ObjectsPooler.cs", "C#", 124, 0, 26, 43, 193
"c:\Users\micha\Desktop\Unity Projects\Aktualne\Depther\Assets\MyPackages\Prefabs\Trigger\Trigger.cs", "C#", 28, 0, 0, 10, 38
"c:\Users\micha\Desktop\Unity Projects\Aktualne\Depther\Assets\MyPackages\Utility\ReversalSetter\ReversalSetter.cs", "C#", 34, 0, 7, 16, 57
"c:\Users\micha\Desktop\Unity Projects\Aktualne\Depther\Assets\MyPackages\Utility\UsefulFunctions\UsefulFunctions.cs", "C#", 103, 0, 52, 56, 211
"c:\Users\micha\Desktop\Unity Projects\Aktualne\Depther\Assets\Scripts\Controllers\PauseMenuController.cs", "C#", 90, 0, 3, 28, 121
"c:\Users\micha\Desktop\Unity Projects\Aktualne\Depther\Assets\Scripts\Controllers\ReviveController.cs", "C#", 131, 0, 13, 50, 194
"c:\Users\micha\Desktop\Unity Projects\Aktualne\Depther\Assets\Scripts\Controllers\WinLoseController.cs", "C#", 99, 0, 4, 39, 142
"c:\Users\micha\Desktop\Unity Projects\Aktualne\Depther\Assets\Scripts\Enemies\EnemiesSpawner.cs", "C#", 136, 0, 22, 44, 202
"c:\Users\micha\Desktop\Unity Projects\Aktualne\Depther\Assets\Scripts\Enemies\Enemy.cs", "C#", 45, 0, 0, 13, 58
"c:\Users\micha\Desktop\Unity Projects\Aktualne\Depther\Assets\Scripts\Enemies\Goblins\BigGoblin.cs", "C#", 99, 0, 7, 28, 134
"c:\Users\micha\Desktop\Unity Projects\Aktualne\Depther\Assets\Scripts\Enemies\Goblins\SmallGoblin.cs", "C#", 93, 0, 8, 29, 130
"c:\Users\micha\Desktop\Unity Projects\Aktualne\Depther\Assets\Scripts\Enemies\Worms System\Worm.cs", "C#", 162, 0, 24, 51, 237
"c:\Users\micha\Desktop\Unity Projects\Aktualne\Depther\Assets\Scripts\Enemies\Worms System\WormPatrolPoint.cs", "C#", 41, 0, 9, 21, 71
"c:\Users\micha\Desktop\Unity Projects\Aktualne\Depther\Assets\Scripts\Enemies\Worms System\WormSpawnPoint.cs", "C#", 27, 0, 0, 8, 35
"c:\Users\micha\Desktop\Unity Projects\Aktualne\Depther\Assets\Scripts\Enemies\Worms System\WormsManager.cs", "C#", 142, 0, 16, 51, 209
"c:\Users\micha\Desktop\Unity Projects\Aktualne\Depther\Assets\Scripts\Items\DepthField\DFExternalField.cs", "C#", 66, 0, 19, 24, 109
"c:\Users\micha\Desktop\Unity Projects\Aktualne\Depther\Assets\Scripts\Items\DepthField\DFInternalField.cs", "C#", 29, 0, 7, 12, 48
"c:\Users\micha\Desktop\Unity Projects\Aktualne\Depther\Assets\Scripts\Items\DepthField\DepthField.cs", "C#", 100, 0, 27, 35, 162
"c:\Users\micha\Desktop\Unity Projects\Aktualne\Depther\Assets\Scripts\Items\Lasers\AimigMuratSpawner.cs", "C#", 115, 0, 1, 37, 153
"c:\Users\micha\Desktop\Unity Projects\Aktualne\Depther\Assets\Scripts\Items\Lasers\AimingMurat.cs", "C#", 102, 0, 4, 30, 136
"c:\Users\micha\Desktop\Unity Projects\Aktualne\Depther\Assets\Scripts\Items\Lasers\BasicMurat.cs", "C#", 82, 0, 6, 22, 110
"c:\Users\micha\Desktop\Unity Projects\Aktualne\Depther\Assets\Scripts\Items\Lasers\Laser.cs", "C#", 174, 0, 16, 58, 248
"c:\Users\micha\Desktop\Unity Projects\Aktualne\Depther\Assets\Scripts\Items\MagickRoad\MagicalRoad.cs", "C#", 101, 0, 11, 40, 152
"c:\Users\micha\Desktop\Unity Projects\Aktualne\Depther\Assets\Scripts\Items\MagickRoad\MagickRoadGlyph.cs", "C#", 32, 0, 1, 11, 44
"c:\Users\micha\Desktop\Unity Projects\Aktualne\Depther\Assets\Scripts\Items\Meteorite\Meteorite.cs", "C#", 91, 0, 6, 37, 134
"c:\Users\micha\Desktop\Unity Projects\Aktualne\Depther\Assets\Scripts\Items\Meteorite\MeteoriteSpawner.cs", "C#", 93, 0, 6, 28, 127
"c:\Users\micha\Desktop\Unity Projects\Aktualne\Depther\Assets\Scripts\Items\Others\CheckPoint.cs", "C#", 28, 0, 2, 12, 42
"c:\Users\micha\Desktop\Unity Projects\Aktualne\Depther\Assets\Scripts\Items\Others\DangerPillar.cs", "C#", 51, 0, 6, 14, 71
"c:\Users\micha\Desktop\Unity Projects\Aktualne\Depther\Assets\Scripts\Items\Others\EnemyBullet.cs", "C#", 57, 0, 2, 21, 80
"c:\Users\micha\Desktop\Unity Projects\Aktualne\Depther\Assets\Scripts\Items\Others\Orb.cs", "C#", 23, 0, 0, 9, 32
"c:\Users\micha\Desktop\Unity Projects\Aktualne\Depther\Assets\Scripts\Items\Others\Pedestal.cs", "C#", 19, 0, 0, 4, 23
"c:\Users\micha\Desktop\Unity Projects\Aktualne\Depther\Assets\Scripts\Items\PillarCage\PilarCage.cs", "C#", 438, 0, 49, 182, 669
"c:\Users\micha\Desktop\Unity Projects\Aktualne\Depther\Assets\Scripts\Items\PillarCage\PillarCageCreator.cs", "C#", 61, 0, 0, 27, 88
"c:\Users\micha\Desktop\Unity Projects\Aktualne\Depther\Assets\Scripts\Items\PillarCage\PillarWall.cs", "C#", 155, 0, 10, 52, 217
"c:\Users\micha\Desktop\Unity Projects\Aktualne\Depther\Assets\Scripts\Items\Warlock\Warlock.cs", "C#", 106, 0, 2, 29, 137
"c:\Users\micha\Desktop\Unity Projects\Aktualne\Depther\Assets\Scripts\Items\Warlock\WarlockBullet.cs", "C#", 114, 0, 3, 44, 161
"c:\Users\micha\Desktop\Unity Projects\Aktualne\Depther\Assets\Scripts\Managers\AudioManager.cs", "C#", 434, 0, 7, 119, 560
"c:\Users\micha\Desktop\Unity Projects\Aktualne\Depther\Assets\Scripts\Managers\GameplayManager.cs", "C#", 487, 0, 65, 201, 753
"c:\Users\micha\Desktop\Unity Projects\Aktualne\Depther\Assets\Scripts\Managers\StartMenuManager.cs", "C#", 91, 0, 3, 27, 121
"c:\Users\micha\Desktop\Unity Projects\Aktualne\Depther\Assets\Scripts\Managers\UIManager.cs", "C#", 71, 0, 1, 20, 92
"c:\Users\micha\Desktop\Unity Projects\Aktualne\Depther\Assets\Scripts\Player\Bullets\PlayerBullet.cs", "C#", 90, 0, 5, 26, 121
"c:\Users\micha\Desktop\Unity Projects\Aktualne\Depther\Assets\Scripts\Player\Bullets\StrongPlayerBulet.cs", "C#", 54, 0, 2, 27, 83
"c:\Users\micha\Desktop\Unity Projects\Aktualne\Depther\Assets\Scripts\Player\InputData.cs", "C#", 118, 0, 7, 33, 158
"c:\Users\micha\Desktop\Unity Projects\Aktualne\Depther\Assets\Scripts\Player\Others\DismemberedPlayer.cs", "C#", 26, 0, 2, 9, 37
"c:\Users\micha\Desktop\Unity Projects\Aktualne\Depther\Assets\Scripts\Player\Others\Echo.cs", "C#", 29, 0, 0, 10, 39
"c:\Users\micha\Desktop\Unity Projects\Aktualne\Depther\Assets\Scripts\Player\Player.cs", "C#", 374, 0, 18, 136, 528
"c:\Users\micha\Desktop\Unity Projects\Aktualne\Depther\Assets\Scripts\Player\PlayerDashMoveCreator.cs", "C#", 178, 0, 19, 62, 259
"c:\Users\micha\Desktop\Unity Projects\Aktualne\Depther\Assets\Scripts\Player\PlayerInput.cs", "C#", 75, 0, 2, 34, 111
"c:\Users\micha\Desktop\Unity Projects\Aktualne\Depther\Assets\Scripts\Player\RevivingHeart\RevivingHeart.cs", "C#", 40, 0, 3, 14, 57
