"filename", "language", "C#", "ShaderLab", "comment", "blank", "total"
"c:\Users\micha\Desktop\Unity Projects\Aktualne\Depther\Assets\Editor\PlayerCustomInspector.cs", "C#", 3, 0, 3, 0, 6
"c:\Users\micha\Desktop\Unity Projects\Aktualne\Depther\Assets\MyPackages\Controllers\TransitionsController\Assets\Fader.shader", "ShaderLab", 0, -54, -4, -12, -70
"c:\Users\micha\Desktop\Unity Projects\Aktualne\Depther\Assets\MyPackages\Prefabs\CloudsGenerator\CloudsGenerator.cs", "C#", 1, 0, 0, 0, 1
"c:\Users\micha\Desktop\Unity Projects\Aktualne\Depther\Assets\Scripts\Items\MagickRoad\MagicalRoadGlyph.cs", "C#", 32, 0, 1, 11, 44
"c:\Users\micha\Desktop\Unity Projects\Aktualne\Depther\Assets\Scripts\Items\MagickRoad\MagickRoadGlyph.cs", "C#", -32, 0, -1, -11, -44
"c:\Users\micha\Desktop\Unity Projects\Aktualne\Depther\Assets\Scripts\Items\Meteorite\Meteorite.cs", "C#", -1, 0, 2, -1, 0
"c:\Users\micha\Desktop\Unity Projects\Aktualne\Depther\Assets\Scripts\Items\Meteorite\MeteoriteSpawner.cs", "C#", 2, 0, 0, 1, 3
"c:\Users\micha\Desktop\Unity Projects\Aktualne\Depther\Assets\Scripts\Items\Others\CheckPoint.cs", "C#", -4, 0, -1, -2, -7
"c:\Users\micha\Desktop\Unity Projects\Aktualne\Depther\Assets\Scripts\Items\Others\EnemyBullet.cs", "C#", 1, 0, 0, -2, -1
"c:\Users\micha\Desktop\Unity Projects\Aktualne\Depther\Assets\Scripts\Items\PillarCage\PilarCage.cs", "C#", 1, 0, -4, -9, -12
"c:\Users\micha\Desktop\Unity Projects\Aktualne\Depther\Assets\Scripts\Items\PillarCage\Pillar.cs", "C#", 58, 0, 4, 28, 90
"c:\Users\micha\Desktop\Unity Projects\Aktualne\Depther\Assets\Scripts\Items\PillarCage\PillarCageCreator.cs", "C#", 0, 0, 0, -1, -1
"c:\Users\micha\Desktop\Unity Projects\Aktualne\Depther\Assets\Scripts\Items\PillarCage\PillarWall.cs", "C#", -53, 0, 0, -24, -77
"c:\Users\micha\Desktop\Unity Projects\Aktualne\Depther\Assets\Scripts\Items\Warlock\Warlock.cs", "C#", 1, 0, 1, 1, 3
"c:\Users\micha\Desktop\Unity Projects\Aktualne\Depther\Assets\Scripts\Items\Warlock\WarlockBullet.cs", "C#", 14, 0, 1, -2, 13
"c:\Users\micha\Desktop\Unity Projects\Aktualne\Depther\Assets\Scripts\ZoneSwitching\ZSPlatforms\ZSPlatforms.cs", "C#", 8, 0, 0, 1, 9
"Total", "-", 31, -54, 2, -22, -43
